City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Quatre Cocos,MU,2021-04-03 13:27:16,-20.2078,57.7625,84.2,74,40,11.5
1,Arraial Do Cabo,BR,2021-04-03 13:25:46,-22.9661,-42.0278,80.6,61,40,9.22
2,Pevek,RU,2021-04-03 13:25:32,69.7008,170.3133,-24.14,97,37,2.3
3,Lavrentiya,RU,2021-04-03 13:25:35,65.5833,-171.0,3.6,93,100,10.63
4,Butaritari,KI,2021-04-03 13:25:43,3.0707,172.7902,82.54,80,26,16.37
5,Kununurra,AU,2021-04-03 13:30:17,-15.7667,128.7333,78.8,69,100,5.75
6,Chkalovsk,RU,2021-04-03 13:30:18,56.7647,43.2433,39.2,70,40,6.71
7,Cape Town,ZA,2021-04-03 13:24:42,-33.9258,18.4232,82.0,25,0,10.36
8,Narsaq,GL,2021-04-03 13:30:18,60.9167,-46.05,37.4,93,75,3.44
9,New Norfolk,AU,2021-04-03 13:25:45,-42.7826,147.0587,64.99,58,47,4.0
10,San Quintin,MX,2021-04-03 13:30:19,30.4833,-115.95,57.78,89,0,8.75
11,Ushuaia,AR,2021-04-03 13:25:36,-54.8,-68.3,41.0,93,90,19.57
12,Hobart,AU,2021-04-03 13:21:57,-42.8794,147.3294,66.2,52,34,21.85
13,Tarboro,US,2021-04-03 13:27:49,35.8968,-77.5358,41.0,52,1,6.91
14,Jamestown,US,2021-04-03 13:25:41,42.097,-79.2353,35.01,69,1,6.91
15,Riohacha,CO,2021-04-03 13:28:15,11.5444,-72.9072,79.84,73,100,10.02
16,Severo-Kurilsk,RU,2021-04-03 13:26:49,50.6789,156.125,33.42,82,100,19.98
17,Kapaa,US,2021-04-03 13:26:27,22.0752,-159.319,73.4,68,75,16.11
18,Ometepec,MX,2021-04-03 13:30:20,16.6833,-98.4167,79.12,36,0,3.31
19,Lebu,CL,2021-04-03 13:26:40,-37.6167,-73.65,54.43,85,30,9.66
20,Haines Junction,CA,2021-04-03 13:30:20,60.7522,-137.5108,-2.2,84,100,1.14
21,Upernavik,GL,2021-04-03 13:26:09,72.7868,-56.1549,-14.1,91,27,1.61
22,Punta Arenas,CL,2021-04-03 13:21:17,-53.15,-70.9167,44.6,87,90,17.27
23,Kodiak,US,2021-04-03 13:23:57,57.79,-152.4072,44.6,57,1,3.44
24,Trairi,BR,2021-04-03 13:30:21,-3.2778,-39.2689,83.23,79,67,12.28
25,Kalas,IN,2021-04-03 13:30:21,18.1667,74.8,93.92,14,92,3.96
26,Ilulissat,GL,2021-04-03 13:27:10,69.2167,-51.1,6.8,78,75,16.11
27,Ribeira Grande,PT,2021-04-03 13:25:54,38.5167,-28.7,60.8,94,75,26.46
28,Provideniya,RU,2021-04-03 13:26:22,64.3833,-173.3,6.58,93,100,12.12
29,Tuktoyaktuk,CA,2021-04-03 13:25:34,69.4541,-133.0374,-11.2,77,90,3.44
30,Kavieng,PG,2021-04-03 13:28:20,-2.5744,150.7967,82.62,76,39,6.98
31,Hukuntsi,BW,2021-04-03 13:30:22,-24.0,21.75,88.48,19,1,4.65
32,Mataura,NZ,2021-04-03 13:25:31,-46.1927,168.8643,57.99,51,62,13.0
33,Kumluca,TR,2021-04-03 13:30:23,36.3703,30.2869,60.89,74,48,9.37
34,Ndele,CF,2021-04-03 13:30:23,8.4109,20.6473,101.07,16,92,6.04
35,Chokurdakh,RU,2021-04-03 13:26:21,70.6333,147.9167,-23.28,100,66,4.36
36,Porto Walter,BR,2021-04-03 13:30:23,-8.2686,-72.7439,73.74,97,100,2.3
37,Fort Nelson,CA,2021-04-03 13:30:24,58.8053,-122.7002,10.4,72,75,3.44
38,Victoria,HK,2021-04-03 13:22:01,22.2855,114.1577,80.01,75,9,1.99
39,Changli,CN,2021-04-03 13:30:24,39.7042,119.1506,51.51,20,100,6.31
40,Hithadhoo,MV,2021-04-03 13:26:11,-0.6,73.0833,83.37,77,76,17.52
41,Barrow,US,2021-04-03 13:23:04,71.2906,-156.7887,-20.2,76,1,3.44
42,Montepuez,MZ,2021-04-03 13:30:25,-13.1256,38.9997,75.92,90,99,4.7
43,Nanortalik,GL,2021-04-03 13:26:59,60.1432,-45.2371,36.14,99,100,1.66
44,Wilmington,US,2021-04-03 13:29:49,34.2257,-77.9447,45.0,52,1,6.91
45,Mahebourg,MU,2021-04-03 13:27:39,-20.4081,57.7,84.2,74,40,11.5
46,Qarayeri,AZ,2021-04-03 13:30:26,40.7886,46.3066,64.4,34,75,11.5
47,Puerto Ayora,EC,2021-04-03 13:26:01,-0.7393,-90.3518,77.0,90,58,2.1
48,Esperance,AU,2021-04-03 13:27:09,-33.8667,121.9,64.4,72,90,11.5
49,Albany,US,2021-04-03 13:21:37,42.6001,-73.9662,36.0,26,0,8.86
50,Den Helder,NL,2021-04-03 13:30:26,52.9599,4.7593,46.4,61,90,12.66
51,Ankazoabo,MG,2021-04-03 13:30:27,-22.2833,44.5167,80.65,60,90,4.0
52,Atuona,PF,2021-04-03 13:26:06,-9.8,-139.0333,80.37,75,100,14.94
53,Bilibino,RU,2021-04-03 13:26:45,68.0546,166.4372,-20.34,92,98,6.31
54,Ca Mau,VN,2021-04-03 13:30:27,9.1769,105.15,82.29,77,49,7.27
55,Adet,ET,2021-04-03 13:30:28,11.2644,37.4888,79.21,24,74,10.31
56,Pacific Grove,US,2021-04-03 13:26:34,36.6177,-121.9166,51.8,71,90,3.44
57,Phuket,TH,2021-04-03 13:30:28,8.0,98.25,82.4,78,20,5.75
58,Vila Do Maio,CV,2021-04-03 13:30:28,15.1333,-23.2167,84.2,34,0,17.27
59,Touros,BR,2021-04-03 13:25:39,-5.1989,-35.4608,77.0,94,75,4.61
60,Te Anau,NZ,2021-04-03 13:27:25,-45.4167,167.7167,49.5,80,4,9.53
61,Busselton,AU,2021-04-03 13:25:54,-33.65,115.3333,68.0,73,100,1.99
62,Vila Franca Do Campo,PT,2021-04-03 13:25:46,37.7167,-25.4333,64.4,77,40,19.57
63,Leningradskiy,RU,2021-04-03 13:27:28,69.3833,178.4167,-23.04,97,96,5.12
64,Acapulco,MX,2021-04-03 13:25:10,16.8634,-99.8901,75.2,69,1,4.61
65,Kropotkin,RU,2021-04-03 13:30:29,45.4375,40.5756,53.37,63,100,17.18
66,Avarua,CK,2021-04-03 13:25:40,-21.2078,-159.775,78.8,83,20,9.22
67,Axim,GH,2021-04-03 13:30:30,4.8699,-2.2405,84.83,71,56,10.11
68,Miles City,US,2021-04-03 13:30:30,46.4083,-105.8406,35.6,55,1,8.05
69,Bluff,NZ,2021-04-03 13:25:42,-46.6,168.3333,57.99,51,83,13.0
70,Mariakani,KE,2021-04-03 13:30:30,-3.8633,39.4736,88.09,49,77,16.22
71,Rivadavia,AR,2021-04-03 13:30:31,-33.1905,-68.4608,68.0,64,40,8.05
72,Rikitea,PF,2021-04-03 13:23:10,-23.1203,-134.9692,76.69,74,100,13.44
73,Ibra,OM,2021-04-03 13:30:31,22.6906,58.5334,99.05,6,0,13.71
74,Singleton,AU,2021-04-03 13:30:32,-32.5667,151.1833,63.0,81,8,0.76
75,Rio Do Sul,BR,2021-04-03 13:30:32,-27.2142,-49.6431,73.99,85,66,1.01
76,Petropavlovsk-Kamchatskiy,RU,2021-04-03 13:25:55,53.0452,158.6483,30.2,59,100,4.47
